batter,bowler,balls,runs,dismissals,dot_balls,boundaries,matches,strike_rate,dot_ball_pct,boundary_pct,dismissal_rate_pct,risk_score,dominance_score,matchup_winner
JE Root,RA Jadeja,1456,736,14,988,68,37,50.55,67.86,4.67,0.96,41.06,33.37,Bowler
KC Sangakkara,Saeed Ajmal,1434,703,11,976,60,34,49.02,68.06,4.18,0.77,40.14,33.1,Bowler
CA Pujara,NM Lyon,1296,571,13,953,48,21,44.06,73.53,3.7,1.0,43.65,30.8,Bowler
V Kohli,NM Lyon,1210,673,7,771,62,30,55.62,63.72,5.12,0.58,37.03,36.13,Bowler
SPD Smith,JM Anderson,1157,554,11,883,77,36,47.88,76.32,6.66,0.95,43.81,34.78,Bowler
SPD Smith,SCJ Broad,1152,616,14,846,85,42,53.47,73.44,7.38,1.22,44.0,35.97,Bowler
SR Watson,JM Anderson,1027,620,12,752,96,38,60.37,73.22,9.35,1.17,42.95,39.67,Bowler
SPD Smith,RA Jadeja,1019,568,11,683,60,29,55.74,67.03,5.89,1.08,41.02,35.42,Bowler
AD Mathews,Saeed Ajmal,1015,470,12,727,49,36,46.31,71.63,4.83,1.18,43.94,31.9,Bowler
BA Stokes,NM Lyon,965,458,10,750,61,20,47.46,77.72,6.32,1.04,44.81,34.08,Bowler
DA Warner,SCJ Broad,944,557,20,674,72,40,59.0,71.4,7.63,2.12,48.24,34.79,Bowler
HM Amla,JM Anderson,937,523,3,676,73,28,55.82,72.15,7.79,0.32,37.98,39.62,Batter
AN Cook,R Ashwin,931,445,11,673,46,22,47.8,72.29,4.94,1.18,43.99,32.35,Bowler
HM Amla,SCJ Broad,909,465,12,688,67,28,51.16,75.69,7.37,1.32,45.51,35.13,Bowler
JE Root,MA Starc,897,535,14,622,70,39,59.64,69.34,7.8,1.56,44.2,36.79,Bowler
KC Sangakkara,Harbhajan Singh,887,483,7,594,45,27,54.45,66.97,5.07,0.79,39.39,35.18,Bowler
Misbah-ul-Haq,HMRKB Herath,887,406,12,645,38,21,45.77,72.72,4.28,1.35,45.34,30.72,Bowler
