batter,runs,balls,dot_balls,boundaries,dismissals,innings,matches,average,strike_rate,dot_ball_pct,boundary_pct,dismissal_rate_pct,pressure_index,weakness_score,boundary_risk_score,dismissal_vulnerability_score,consistency_score,recent_form_score,first_match_date,last_match_date
V Kohli,27778,35056,19165,3049,524,619,529,53.01,79.24,54.67,8.7,1.49,36.77,46.24,43.5,22.35,50.46,111.2,2008-08-18,2026-01-18
JE Root,22079,33189,20133,2290,436,501,366,50.64,66.53,60.66,6.9,1.31,39.26,48.88,34.5,19.65,49.67,72.84,2012-12-13,2026-01-27
KC Sangakkara,21385,30895,18614,2347,426,488,421,50.2,69.22,60.25,7.6,1.38,39.35,48.82,38.0,20.7,49.56,51.08,2002-06-27,2015-08-20
RG Sharma,19641,22636,12812,2534,461,531,480,42.61,86.77,56.6,11.19,2.04,40.31,48.76,55.95,30.6,47.96,93.75,2007-06-26,2026-01-18
AB de Villiers,19102,25296,14892,2210,379,460,390,50.4,75.51,58.87,8.74,1.5,39.13,48.37,43.7,22.5,50.75,60.53,2005-01-02,2018-03-30
KS Williamson,19089,28878,18260,2103,387,446,361,49.33,66.1,63.23,7.28,1.34,40.81,50.21,36.4,20.1,50.04,73.08,2010-08-10,2025-12-18
DA Warner,18536,21499,12355,2386,440,469,374,42.13,86.22,57.47,11.1,2.05,40.83,49.24,55.5,30.75,48.2,172.46,2009-01-11,2024-06-24
HM Amla,18176,27926,17822,2168,382,428,338,47.58,65.09,63.82,7.76,1.37,41.27,50.54,38.8,20.55,49.34,71.98,2004-11-28,2019-06-28
LRPL Taylor,17631,24140,14176,1980,413,497,414,42.69,73.04,58.72,8.2,1.71,39.99,49.11,41.0,25.65,48.72,78.95,2006-03-01,2025-10-12
SPD Smith,17430,27222,17418,1930,362,425,327,48.15,64.03,63.99,7.09,1.33,41.18,50.59,35.45,19.95,48.74,65.7,2010-02-05,2026-01-04
MS Dhoni,16498,20999,11480,1747,358,500,447,46.08,78.57,54.67,8.32,1.7,37.72,47.04,41.6,25.5,52.69,92.46,2004-12-23,2019-07-09
DPMD Jayawardene,16059,23860,14491,1750,401,454,394,40.05,67.31,60.73,7.33,1.68,40.96,50.15,36.65,25.2,45.53,62.9,2002-06-27,2015-03-18
AN Cook,15591,30532,22024,1816,363,386,256,42.95,51.06,72.13,5.95,1.19,45.03,54.34,29.75,17.85,47.57,43.35,2006-03-01,2018-09-07
MJ Clarke,15502,23827,14964,1596,340,411,332,45.59,65.06,62.8,6.7,1.43,40.98,50.4,33.5,21.45,47.53,46.3,2003-01-19,2015-08-20
TM Dilshan,15272,18154,9646,1853,382,437,394,39.98,84.12,53.13,10.21,2.1,38.67,47.38,51.05,31.5,49.26,72.48,2003-05-19,2016-09-09
Babar Azam,15182,18694,10281,1743,328,379,327,46.29,81.21,55.0,9.32,1.75,38.12,47.23,46.6,26.25,53.24,96.46,2015-05-31,2026-05-16
AD Mathews,14999,24506,15744,1571,369,464,369,40.65,61.21,64.25,6.41,1.51,42.13,51.45,32.05,22.65,50.63,47.55,2008-11-30,2025-06-17
Mushfiqur Rahim,14828,23102,14324,1576,405,487,406,36.61,64.18,62.0,6.82,1.75,41.98,51.1,34.1,26.25,47.34,51.97,2006-03-08,2026-05-16
Tamim Iqbal,14227,19516,12021,1823,379,416,354,37.54,72.9,61.6,9.34,1.94,42.61,51.19,46.7,29.1,50.49,69.62,2007-03-17,2023-09-23
RT Ponting,14007,20063,12400,1596,325,364,294,43.1,69.82,61.81,7.95,1.62,41.29,50.38,39.75,24.3,49.65,45.07,2002-12-26,2012-11-30
GC Smith,13664,19516,12340,1718,327,348,277,41.79,70.01,63.23,8.8,1.68,42.34,51.18,44.0,25.2,49.36,56.45,2002-12-26,2014-03-01
KP Pietersen,13317,18646,11573,1661,298,329,254,44.69,71.42,62.07,8.91,1.6,41.34,50.3,44.55,24.0,49.94,53.21,2004-11-28,2014-01-03
Q de Kock,13245,13943,7364,1787,329,354,317,40.26,94.99,52.82,12.82,2.36,39.67,47.75,64.1,35.4,50.85,135.09,2012-12-21,2026-03-04
Shakib Al Hasan,13235,16699,9046,1503,379,434,378,34.92,79.26,54.17,9.0,2.27,40.01,48.68,45.0,34.05,50.77,47.8,2006-08-06,2024-09-27
MJ Guptill,13183,16226,9772,1741,362,401,354,36.42,81.25,60.22,10.73,2.23,43.16,51.31,53.65,33.45,49.03,81.6,2009-02-01,2022-10-12
BB McCullum,12982,15625,9257,1734,365,416,345,35.57,83.08,59.24,11.1,2.34,43.11,51.14,55.5,35.1,46.45,134.52,2002-12-29,2016-02-20
JH Kallis,12847,21663,14166,1412,259,305,243,49.6,59.3,65.39,6.52,1.2,41.36,50.92,32.6,18.0,50.19,41.4,2002-12-26,2014-07-12
IR Bell,12781,21804,14892,1478,314,358,274,40.7,58.62,68.3,6.78,1.44,44.04,53.17,33.9,21.6,49.26,31.67,2004-08-19,2015-11-01
SR Tendulkar,12762,19161,12349,1643,253,284,227,50.44,66.6,64.45,8.57,1.32,41.39,50.56,42.85,19.8,49.56,61.88,2001-12-19,2013-11-14
JC Buttler,12305,12737,6651,1532,336,409,364,36.62,96.61,52.22,12.03,2.64,40.6,48.55,60.15,39.6,50.27,92.5,2011-09-25,2026-03-05
Younis Khan,12260,20291,13022,1233,303,337,269,40.46,60.42,64.18,6.08,1.49,42.0,51.39,30.4,22.35,45.72,31.96,2002-12-26,2017-05-10
CH Gayle,12182,14287,8835,1796,337,370,325,36.15,85.27,61.84,12.57,2.36,44.63,52.29,62.85,35.4,45.06,91.84,2003-02-09,2021-11-06
Mohammad Hafeez,12073,15844,9618,1502,363,404,358,33.26,76.2,60.7,9.48,2.29,43.69,51.94,47.4,34.35,46.94,168.75,2003-04-03,2021-11-11
V Sehwag,12020,12563,6977,1824,299,316,258,40.2,95.68,55.54,14.52,2.38,41.26,48.92,72.6,35.7,46.12,58.49,2001-12-19,2013-03-02
