bowler,legal_balls,wickets,dot_balls,boundaries_conceded,matches,runs_conceded,innings,overs,economy,average,strike_rate,dot_ball_pct,boundary_conceded_pct,wicket_rate_pct,threat_score,boundary_risk_score,first_match_date,last_match_date
JM Anderson,48266,950,35685,3451,377,25888,535,8044.3,3.22,27.25,50.81,73.93,7.15,1.97,62.96,35.75,2003-01-11,2024-07-10
SCJ Broad,40764,840,29490,3142,337,23436,480,6794.0,3.45,27.9,48.53,72.34,7.71,2.06,62.88,38.55,2006-08-28,2023-07-27
TG Southee,33943,769,23231,3042,379,22715,481,5657.2,4.02,29.54,44.14,68.44,8.96,2.27,62.61,44.8,2008-02-05,2024-12-14
MA Starc,27923,751,18888,2399,296,19029,393,4653.8,4.09,25.34,37.18,67.64,8.59,2.69,65.67,42.95,2010-10-20,2026-01-04
R Ashwin,34751,746,23675,2067,280,19592,373,5791.8,3.38,26.26,46.58,68.13,5.95,2.15,61.97,29.75,2010-06-05,2024-12-06
DW Steyn,25199,686,17694,2065,259,15869,334,4199.8,3.78,23.13,36.73,70.22,8.19,2.72,67.13,40.95,2005-08-17,2020-02-21
RA Jadeja,31696,618,20955,1903,354,18628,432,5282.7,3.53,30.14,51.29,66.11,6.0,1.95,59.45,30.0,2009-02-08,2026-01-18
Shakib Al Hasan,27603,609,16946,1750,382,18252,430,4600.5,3.97,29.97,45.33,61.39,6.34,2.21,59.35,31.7,2006-08-06,2024-09-27
TA Boult,24782,601,17418,2070,247,15532,319,4130.3,3.76,25.84,41.23,70.28,8.35,2.43,64.81,41.75,2011-12-09,2024-06-17
NM Lyon,36489,597,26328,1980,171,18481,293,6081.5,3.04,30.96,61.12,72.15,5.43,1.64,59.77,27.15,2011-08-31,2025-12-17
K Rabada,20354,582,13877,1890,249,14293,311,3392.3,4.21,24.56,34.97,68.18,9.29,2.86,67.17,46.45,2014-11-05,2026-03-04
MG Johnson,23846,577,16303,1886,247,15479,314,3974.3,3.89,26.83,41.33,68.37,7.91,2.42,63.94,39.55,2006-02-26,2015-11-13
M Morkel,23133,539,16431,1871,242,14421,316,3855.5,3.74,26.76,42.92,71.03,8.09,2.33,64.39,40.45,2006-12-26,2018-03-30
PJ Cummins,20188,518,13994,1492,215,12495,278,3364.7,3.71,24.12,38.97,69.32,7.39,2.57,65.65,36.95,2011-10-13,2025-12-17
JR Hazlewood,21605,510,15506,1602,226,12621,294,3600.8,3.51,24.75,42.36,71.77,7.41,2.36,65.06,37.05,2010-06-22,2025-10-31
SL Malinga,15939,499,8916,1545,313,13965,336,2656.5,5.26,27.99,31.94,55.94,9.69,3.13,63.76,48.45,2004-07-23,2020-03-06
JJ Bumrah,16469,495,11288,1252,228,10251,277,2744.8,3.73,20.71,33.27,68.54,7.6,3.01,68.78,38.0,2016-01-23,2026-03-08
HMRKB Herath,26915,488,18835,1244,161,13510,230,4485.8,3.01,27.68,55.15,69.98,4.62,1.81,60.28,23.1,2004-04-27,2018-11-06
B Lee,18040,460,12386,1461,217,12428,257,3006.7,4.13,27.02,39.22,68.66,8.1,2.55,65.08,40.5,2002-12-26,2012-07-07
Mohammed Shami,17224,453,11590,1657,193,11946,251,2870.7,4.16,26.37,38.02,67.29,9.62,2.63,64.88,48.1,2013-01-06,2025-03-09
AU Rashid,14649,452,6987,1273,305,13464,321,2441.5,5.51,29.79,32.41,47.7,8.69,3.09,59.88,43.45,2009-06-05,2026-03-05
M Muralitharan,18941,444,12611,935,174,10428,206,3156.8,3.3,23.49,42.66,66.58,4.94,2.34,62.94,24.7,2003-01-09,2011-04-02
Saeed Ajmal,18770,436,12418,1004,205,10567,237,3128.3,3.38,24.24,43.05,66.16,5.35,2.32,62.53,26.75,2008-07-02,2015-04-24
I Sharma,23075,429,16398,1821,195,13970,277,3845.8,3.63,32.56,53.79,71.06,7.89,1.86,60.67,39.45,2007-05-25,2021-11-25
Harbhajan Singh,25938,422,16908,1327,232,14857,284,4323.0,3.44,35.21,61.46,65.19,5.12,1.63,56.61,25.6,2001-12-19,2016-03-03
KAJ Roach,19891,422,14310,1489,185,11897,256,3315.2,3.59,28.19,47.14,71.94,7.49,2.12,63.21,37.45,2008-06-20,2025-12-18
Z Khan,19612,414,13379,1592,204,12808,252,3268.7,3.92,30.94,47.37,68.22,8.12,2.11,61.36,40.6,2002-06-29,2014-02-14
JO Holder,19137,413,12549,1608,283,13325,337,3189.5,4.18,32.26,46.34,65.57,8.4,2.16,60.53,42.0,2013-02-01,2026-03-01
GP Swann,19794,399,13283,1122,170,11280,219,3299.0,3.42,28.27,49.61,67.11,5.67,2.02,60.51,28.35,2007-10-01,2013-12-13
DL Vettori,23249,398,15923,1095,241,12247,281,3874.8,3.16,30.77,58.41,68.49,4.71,1.71,58.79,23.55,2002-12-29,2015-03-29
CR Woakes,17465,395,11861,1519,210,11595,266,2910.8,3.98,29.35,44.22,67.91,8.7,2.26,62.33,43.5,2011-01-12,2025-07-31
Shaheen Shah Afridi,12230,384,7814,1308,200,9628,225,2038.3,4.72,25.07,31.85,63.89,10.7,3.14,67.27,53.5,2018-04-03,2026-05-08
Umar Gul,15098,379,9783,1369,217,11126,255,2516.3,4.42,29.36,39.84,64.8,9.07,2.51,62.88,45.35,2003-04-03,2016-09-04
M Ntini,16462,372,11594,1409,155,10364,206,2743.7,3.78,27.86,44.25,70.43,8.56,2.26,63.49,42.8,2002-12-26,2011-01-09
Shahid Afridi,13404,367,6409,909,312,11079,318,2234.0,4.96,30.19,36.52,47.81,6.78,2.74,57.42,33.9,2003-02-11,2026-05-03
MM Ali,19483,364,11587,1528,264,14189,315,3247.2,4.37,38.98,53.52,59.47,7.84,1.87,55.55,39.2,2014-02-28,2024-06-21
MJ Henry,12982,361,8591,1170,162,9190,194,2163.7,4.25,25.46,35.96,66.18,9.01,2.78,65.67,45.05,2014-01-31,2026-03-08
