player,phase,runs,balls,dots,boundaries,entity_type,strike_rate,dot_ball_pct,boundary_pct,wickets,economy
A Balbirnie,Death,1685,1938,922,172,batter,86.95,47.57,8.88,,
A Balbirnie,Long-format,402,815,600,49,batter,49.33,73.62,6.01,,
A Balbirnie,Middle,1722,1812,890,201,batter,95.03,49.12,11.09,,
A Balbirnie,Powerplay,1232,1376,817,184,batter,89.53,59.38,13.37,,
A Dananjaya,Death,345,473,251,34,batter,72.94,53.07,7.19,,
A Dananjaya,Long-format,135,253,181,14,batter,53.36,71.54,5.53,,
A Dananjaya,Middle,27,36,17,2,batter,75.0,47.22,5.56,,
A Dutt,Death,292,414,236,25,batter,70.53,57.0,6.04,,
A Dutt,Middle,51,59,28,5,batter,86.44,47.46,8.47,,
A Flintoff,Death,1912,2083,1070,226,batter,91.79,51.37,10.85,,
A Flintoff,Long-format,2179,3629,2623,319,batter,60.04,72.28,8.79,,
A Flintoff,Middle,279,303,175,45,batter,92.08,57.76,14.85,,
A Flintoff,Powerplay,9,18,11,0,batter,50.0,61.11,0.0,,
A Kumble,Death,107,251,180,10,batter,42.63,71.71,3.98,,
A Kumble,Long-format,892,2215,1734,118,batter,40.27,78.28,5.33,,
A Mishra,Death,43,82,55,4,batter,52.44,67.07,4.88,,
A Mishra,Long-format,641,1096,747,81,batter,58.49,68.16,7.39,,
A Nehra,Death,99,191,133,12,batter,51.83,69.63,6.28,,
A Nehra,Long-format,1,11,10,0,batter,9.09,90.91,0.0,,
A Nehra,Middle,19,18,9,2,batter,105.56,50.0,11.11,,
A Nel,Death,123,158,87,17,batter,77.85,55.06,10.76,,
A Nel,Long-format,296,597,459,41,batter,49.58,76.88,6.87,,
A Nortje,Death,61,85,42,5,batter,71.76,49.41,5.88,,
A Nortje,Long-format,187,616,526,27,batter,30.36,85.39,4.38,,
A Nortje,Middle,9,24,16,0,batter,37.5,66.67,0.0,,
A Sharafu,Death,375,428,207,37,batter,87.62,48.36,8.64,,
