player,cricsheet_id,unique_name,key_cricinfo,key_bcci,key_bigbash,batting_hand,bowling_style,role
A Alexander,ef6d6883,A Alexander,1451258.0,,,Data not available,Data not available,Data not available
A Ashok,321be7e3,A Ashok,1193546.0,,,Data not available,Data not available,Data not available
A Ashokan,9244df4b,A Ashokan,1156472.0,,,Data not available,Data not available,Data not available
A Athanaze,58c2fac4,A Athanaze,1078692.0,,,Data not available,Data not available,Data not available
A Augastin,056e3558,A Augastin,1492934.0,,,Data not available,Data not available,Data not available
A Bagai,112959b2,A Bagai,23797.0,,,Data not available,Data not available,Data not available
A Balbirnie,6ef13460,A Balbirnie,303423.0,,,Data not available,Data not available,Data not available
A Bohara,64fb6b15,A Bohara,1058508.0,,,Data not available,Data not available,Data not available
A Bushell,2d645c00,A Bushell,526120.0,,,Data not available,Data not available,Data not available
A Busing-Volschenk,e9e37173,A Busing-Volschenk,1234278.0,,,Data not available,Data not available,Data not available
A Chaudhary,465fd722,Aryaveer Chaudhary,1329997.0,,,Data not available,Data not available,Data not available
A Chenthamara,e7e14ecc,A Chenthamara,1480306.0,,,Data not available,Data not available,Data not available
A Chopra,e249fdaa,A Chopra,27639.0,,,Data not available,Data not available,Data not available
A Chopra,57a7b064,Anjum Chopra,53910.0,,,Data not available,Data not available,Data not available
A Codrington,9cb022df,A Codrington,23848.0,,,Data not available,Data not available,Data not available
A Dananjaya,5b16a806,A Dananjaya,574178.0,,,Data not available,Data not available,Data not available
A Davidson Soler,524943f1,A Davidson Soler,1445612.0,,,Data not available,Data not available,Data not available
A Dizija,6483c062,A Dizija,1321221.0,,,Data not available,Data not available,Data not available
A Dutt,803dbf1d,A Dutt,1195672.0,,,Data not available,Data not available,Data not available
A Ferguson,4a8d1b14,A Ferguson,23583.0,,,Data not available,Data not available,Data not available
A Flintoff,ddc0828d,A Flintoff,12856.0,,,Data not available,Data not available,Data not available
A Flower,35aa26af,A Flower,55427.0,,,Data not available,Data not available,Data not available
A Gbla,34ab1e6e,A Gbla,516372.0,,,Data not available,Data not available,Data not available
A Johnson,a28a7fba,A Johnson,1323683.0,,,Data not available,Data not available,Data not available
A Kainessie,c7acf05f,A Kainessie,637794.0,,,Data not available,Data not available,Data not available
A Kalasi,8930a2a6,A Kalasi,1337309.0,,,Data not available,Data not available,Data not available
A Khan,e27cff77,A Khan,23911.0,,,Data not available,Data not available,Data not available
A Krishna,13598ebc,A Krishna,775019.0,,,Data not available,Data not available,Data not available
A Kumble,0c2730df,A Kumble,30176.0,,,Data not available,Data not available,Data not available
A Lyth,70b8fd28,A Lyth,251721.0,,,Data not available,Data not available,Data not available
A Magdalenic,d6a2f3a5,A Magdalenic,1382803.0,,,Data not available,Data not available,Data not available
A Maheshwari,3ec513ea,A Maheshwari,1323451.0,,,Data not available,Data not available,Data not available
A Mansale,a22b4f3f,A Mansale,275654.0,,,Data not available,Data not available,Data not available
A Martel,65cd62a9,A Martel,414979.0,,,Data not available,Data not available,Data not available
A Martin,3cacbb57,A Martin,245373.0,,,Data not available,Data not available,Data not available
A McGrath,e8b5ea8d,A McGrath,16975.0,,,Data not available,Data not available,Data not available
A Mishra,0942d272,Aditya Mishra,31730.0,,,Data not available,Data not available,Data not available
A Mishra,6b19d823,A Mishra,31107.0,JKViieiGOiIJAXbzeIJJU0CLyOcihQ1,,Data not available,Data not available,Data not available
A Mishra,54690147,Ayushmaan Mishra,1528649.0,,,Data not available,Data not available,Data not available
A Mithun,66cf56a5,A Mithun,310958.0,JIyIihGziJOiXJObee0cAVUKiCLi1JQ,,Data not available,Data not available,Data not available
A Mukund,6165bca6,A Mukund,302582.0,OJXUciezL0IJAQGiKii1CJbVyeJOIih,,Data not available,Data not available,Data not available
A Mundra,30ffaf85,A Mundra,1442095.0,,,Data not available,Data not available,Data not available
A Nagarajan,856dcfa8,A Nagarajan,1460178.0,,,Data not available,Data not available,Data not available
A Nanda,704e0160,A Nanda,1198917.0,,,Data not available,Data not available,Data not available
A Nao,4d1ec7eb,A Nao,524247.0,,,Data not available,Data not available,Data not available
A Ndlovu,3abe1ef6,A Ndlovu,596456.0,,,Data not available,Data not available,Data not available
A Nehra,96fd40ae,A Nehra,31820.0,iOQIhJAe1ei0JLJizCiKiIGOXyUbcJV,,Data not available,Data not available,Data not available
A Neill,4957b300,A Neill,1148466.0,,,Data not available,Data not available,Data not available
A Nel,2503e881,A Nel,46569.0,,,Data not available,Data not available,Data not available
A Nortje,acdc62f5,A Nortje,481979.0,,,Data not available,Data not available,Data not available
A Parima,866d3ac8,A Parima,1333965.0,,,Data not available,Data not available,Data not available
A Patmore,85119526,A Patmore,581583.0,,,Data not available,Data not available,Data not available
A Phillip,f2665768,A Phillip,914467.0,,,Data not available,Data not available,Data not available
A Prashar,b18dbaff,A Prashar,1380785.0,,,Data not available,Data not available,Data not available
A Pusthay,0393fbdc,A Pusthay,1156468.0,,,Data not available,Data not available,Data not available
A Randhawa,1798078c,A Randhawa,469212.0,,,Data not available,Data not available,Data not available
A Shahi,2011735e,A Shahi,1438792.0,,,Data not available,Data not available,Data not available
A Shahzad,a73321d3,A Shahzad,21431.0,,,Data not available,Data not available,Data not available
