player,venue,runs,balls,boundaries,matches,entity_type,strike_rate,wickets,economy
L Ngidi,"Saurashtra Cricket Association Stadium, Rajkot",20,18,,1,bowler,,2.0,6.67
Avesh Khan,"St George's Park, Gqeberha",9,9,1.0,1,batter,100.0,,
SF Tiai,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),64,45,7.0,4,batter,142.22,,
M Jansen,"Eden Gardens, Kolkata",232,233,,4,bowler,,6.0,5.97
DM Bravo,"Sabina Park, Kingston",298,534,36.0,9,batter,55.81,,
MA Wood,Headingley,343,396,,5,bowler,,10.0,5.2
SD Hope,Kennington Oval,11,11,2.0,1,batter,100.0,,
T Muzarabani,Shere Bangla National Stadium,1,8,0.0,3,batter,12.5,,
Nahid Rana,"Zahur Ahmed Chowdhury Stadium, Chattogram",83,144,,1,bowler,,1.0,3.46
J Blades,"Brian Lara Stadium, Tarouba, Trinidad",99,84,,2,bowler,,1.0,7.07
AS Joseph,"Sir Vivian Richards Stadium, North Sound, Antigua",50,76,5.0,6,batter,65.79,,
WP Masakadza,Indian Association Ground,53,42,,3,bowler,,2.0,7.57
JJC Lawson,Kennington Oval,7,9,1.0,1,batter,77.78,,
DLS van Bunge,Dubai International Cricket Stadium,2,3,0.0,1,batter,66.67,,
A Vala,Sano International Cricket Ground,40,54,,4,bowler,,4.0,4.44
PL Harris,Green Park,12,38,2.0,1,batter,31.58,,
D Ramdin,"Brisbane Cricket Ground, Woolloongabba",85,102,12.0,2,batter,83.33,,
TT Bresnan,"Kensington Oval, Bridgetown",67,44,8.0,3,batter,152.27,,
ZE Green,Kyambogo Cricket Oval,3,6,0.0,1,batter,50.0,,
WAE Burton,Happy Valley Ground,26,27,3.0,1,batter,96.3,,
WD Parnell,"Senwes Park, Potchefstroom",30,32,,1,bowler,,1.0,5.62
KM Jadhav,JSCA International Stadium Complex,46,64,6.0,3,batter,71.88,,
PT Collins,Adelaide Oval,43,60,,1,bowler,,5.0,4.3
CJ Chibhabha,Rawalpindi Cricket Stadium,65,63,11.0,6,batter,103.17,,
RG Sharma,"The Rose Bowl, Southampton",86,162,13.0,2,batter,53.09,,
Mustafizur Rahman,Bay Oval,30,24,,1,bowler,,0.0,7.5
Shoaib Malik,"Punjab Cricket Association Stadium, Mohali",77,66,,3,bowler,,1.0,7.0
Imam-ul-Haq,"The Village, Malahide",81,147,9.0,1,batter,55.1,,
LD Chandimal,Riverside Ground,140,223,17.0,2,batter,62.78,,
B Lee,"Queen's Park (New), St George's, Grenada",86,94,,2,bowler,,3.0,5.49
TM Dilshan,Wankhede Stadium,35,63,3.0,2,batter,55.56,,
Nadeem Ahmed,P Sara Oval,1,3,0.0,1,batter,33.33,,
A Flintoff,"MA Aziz Stadium, Chittagong",14,58,,1,bowler,,4.0,1.45
TA Boult,Green Park,2,33,0.0,1,batter,6.06,,
ZB Lion-Cachet,"Titwood, Glasgow",22,16,3.0,3,batter,137.5,,
Amjad Ali,"Brisbane Cricket Ground, Woolloongabba",45,71,5.0,1,batter,63.38,,
JH Kallis,"Punjab Cricket Association Stadium, Mohali",19,36,,1,bowler,,2.0,3.17
Shakib Al Hasan,Sher-e-Bangla National Cricket Stadium,0,3,0.0,1,batter,0.0,,
Sazib Bhuiyan,Tikkurila Cricket Ground,28,18,,1,bowler,,1.0,9.33
C Munro,De Beers Diamond Oval,9,13,1.0,1,batter,69.23,,
SPD Smith,Melbourne Cricket Ground,325,352,,12,bowler,,7.0,5.54
Vikramjit Singh,Sydney Cricket Ground,1,9,0.0,1,batter,11.11,,
DJ Bravo,Antigua Recreation Ground,107,229,13.0,1,batter,46.72,,
RE van der Merwe,"Sportpark Westvliet, Voorburg",20,18,1.0,1,batter,111.11,,
KJ O'Brien,Harare Sports Club,237,254,,7,bowler,,6.0,5.6
CR Woakes,The Rose Bowl,100,136,9.0,5,batter,73.53,,
Khaled Mahmud,"De Beers Diamond Oval, Kimberley",12,29,1.0,1,batter,41.38,,
DA Warner,The Cooper Associates County Ground,106,110,12.0,1,batter,96.36,,
JO Adedeji,Sheikh Zayed Stadium,22,41,1.0,3,batter,53.66,,
TM Head,"Narendra Modi Stadium, Ahmedabad",270,337,39.0,3,batter,80.12,,
PA Hitchcock,"MA Chidambaram Stadium, Chepauk, Chennai",17,18,,1,bowler,,0.0,5.67
Shaheen Shah Afridi,The Wanderers Stadium,5,15,1.0,1,batter,33.33,,
Junaid Khan,"Kensington Oval, Bridgetown",57,78,,2,bowler,,3.0,4.38
SA Abbott,Dubai International Cricket Stadium,17,18,,1,bowler,,1.0,5.67
Abdul Razzaq,National Stadium,273,328,,5,bowler,,7.0,4.99
Babar Azam,Manuka Oval,50,38,6.0,1,batter,131.58,,
LF Muller,"Belgrano Athletic Club Ground, Buenos Aires",102,69,15.0,2,batter,147.83,,
JJ Bumrah,"Newlands, Cape Town",234,434,,3,bowler,,16.0,3.24
Yuvraj Singh,"Davies Park, Queenstown",25,61,3.0,1,batter,40.98,,
JT Ball,Eden Gardens,56,60,,1,bowler,,2.0,5.6
Karan KC,Dubai International Cricket Stadium,34,63,3.0,5,batter,53.97,,
S Badrinath,Rangiri Dambulla International Stadium,27,57,1.0,1,batter,47.37,,
D Ganga,Kingsmead,14,74,2.0,1,batter,18.92,,
R Dravid,"Jade Stadium, Christchurch",19,57,2.0,1,batter,33.33,,
JP Faulkner,"Punjab Cricket Association Stadium, Mohali",65,60,,1,bowler,,1.0,6.5
Z Khan,Captain Roop Singh Stadium,40,60,,1,bowler,,2.0,4.0
JA Morkel,Western Australia Cricket Association Ground,14,12,2.0,1,batter,116.67,,
SM Curran,"National Stadium, Karachi",10,8,1.0,1,batter,125.0,,
D Maisuria,"Botswana Cricket Association Oval 1, Gaborone",23,57,,3,bowler,,8.0,2.42
BJ Haddin,Wankhede Stadium,19,38,3.0,1,batter,50.0,,
M Jobarteh,Integrated Polytechnic Regional Centre,24,20,3.0,3,batter,120.0,,
N Tanner,Sano International Cricket Ground,36,46,3.0,2,batter,78.26,,
TA Blundell,"Hagley Oval, Christchurch",289,449,37.0,7,batter,64.37,,
RRS Cornwall,Sir Vivian Richards Stadium,134,175,22.0,2,batter,76.57,,
Khawar Ali,ICC Academy,43,29,8.0,1,batter,148.28,,
GD Phillips,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",7,6,,1,bowler,,0.0,7.0
CO Obuya,"North West Cricket Stadium, Potchefstroom",32,30,,1,bowler,,0.0,6.4
MP Stoinis,Westpac Stadium,6,6,,1,bowler,,0.0,6.0
AM Phangiso,Kingsmead,52,48,,2,bowler,,3.0,6.5
Abdul Razzaq,National Stadium,211,265,26.0,4,batter,79.62,,
GJ Maxwell,Hagley Oval,9,6,,1,bowler,,0.0,9.0
KIC Asalanka,"Bay Oval, Mount Maunganui",23,23,3.0,2,batter,100.0,,
HG Munsey,"Wankhede Stadium, Mumbai",27,29,4.0,1,batter,93.1,,
SC van Schalkwyk,"Wankhede Stadium, Mumbai",2,5,0.0,1,batter,40.0,,
KAJ Roach,The Rose Bowl,101,264,,2,bowler,,0.0,2.3
RN Lewis,Harare Sports Club,33,25,3.0,2,batter,132.0,,
R Dravid,"McLean Park, Napier",17,25,1.0,1,batter,68.0,,
Khaled Ahmed,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",1,6,0.0,1,batter,16.67,,
N Dickwella,Rawalpindi Cricket Stadium,33,63,4.0,1,batter,52.38,,
SCJ Broad,Bay Oval,1,11,0.0,1,batter,9.09,,
Kamran Akmal,Arbab Niaz Stadium,25,24,4.0,1,batter,104.17,,
RAS Lakmal,Dubai International Cricket Stadium,54,125,6.0,6,batter,43.2,,
AK Markram,"Hagley Oval, Christchurch",27,48,,1,bowler,,2.0,3.38
SM Sharma,"VRA Ground, Amstelveen",39,48,,1,bowler,,1.0,4.88
Aayan Afzal Khan,"United Cricket Club Ground, Windhoek",132,180,,4,bowler,,5.0,4.4
DR Tuffey,"Gaddafi Stadium, Lahore",62,60,,1,bowler,,1.0,6.2
M Kaif,"Daren Sammy National Cricket Stadium, Gros Islet",148,239,12.0,1,batter,61.92,,
KC Brathwaite,Dubai International Cricket Stadium,38,107,4.0,1,batter,35.51,,
LS Baker,"Sabina Park, Kingston",0,2,0.0,1,batter,0.0,,
MV Boucher,Senwes Park,8,11,1.0,1,batter,72.73,,
Irfan Khan,"Queens Sports Club, Bulawayo",37,35,4.0,3,batter,105.71,,
F Banunaek,"Bayuemas Oval, Kuala Lumpur",1,2,0.0,1,batter,50.0,,
PWH de Silva,Sher-e-Bangla National Cricket Stadium,33,60,,1,bowler,,1.0,3.3
N Nipiko,"Independence Park, Port Vila",30,27,,2,bowler,,4.0,6.67
JJ Smit,Harare Sports Club,197,105,26.0,4,batter,187.62,,
Arun Yadav,"Achimota Senior Secondary School B Field, Accra",80,57,8.0,3,batter,140.35,,
JE Root,"Sir Vivian Richards Stadium, North Sound",403,555,31.0,6,batter,72.61,,
M Syahadat Ramli,Singapore National Cricket Ground,131,96,18.0,6,batter,136.46,,
Imad Wasim,Sheikh Zayed Stadium,244,312,,10,bowler,,11.0,4.69
SL Malinga,Providence Stadium,2,5,0.0,2,batter,40.0,,
Shoriful Islam,"Wankhede Stadium, Mumbai",76,54,,1,bowler,,1.0,8.44
Nasum Ahmed,"Zayed Cricket Stadium, Abu Dhabi",48,30,,2,bowler,,2.0,9.6
B Shikongo,"Wanderers Cricket Ground, Windhoek",228,246,,10,bowler,,13.0,5.56
BRM Taylor,Harare Sports Club,2955,4153,327.0,65,batter,71.15,,
KMDN Kulasekara,Trent Bridge,5,7,1.0,1,batter,71.43,,
Arshdeep Singh,"The Wanderers Stadium, Johannesburg",70,90,,3,bowler,,9.0,4.67
Shoriful Islam,"County Ground, Chelmsford",104,84,,2,bowler,,3.0,7.43
Agha Salman,"Shere Bangla National Stadium, Mirpur",102,132,,4,bowler,,1.0,4.64
Sikandar Raza,"Vidarbha Cricket Association Stadium, Jamtha",29,24,,2,bowler,,1.0,7.25
K Rabada,University Oval,4,25,0.0,1,batter,16.0,,
PJ Cummins,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",7,27,1.0,1,batter,25.93,,
HA Chohan,"Willowmoore Park, Benoni",101,90,,4,bowler,,4.0,6.73
JP Greaves,"Kensington Oval, Bridgetown, Barbados",81,132,,1,bowler,,2.0,3.68
MA Starc,"Punjab Cricket Association Stadium, Mohali",125,201,,1,bowler,,2.0,3.73
NT Ellis,"Sedgars Park, Potchefstroom",69,60,,1,bowler,,1.0,6.9
S Dhakal,"Mission Road Ground, Mong Kok, Hong Kong",0,3,0.0,1,batter,0.0,,
Faheem Ashraf,Harare Sports Club,24,28,3.0,5,batter,85.71,,
T Musekiwa,"MA Chidambaram Stadium, Chepauk, Chennai",7,3,1.0,1,batter,233.33,,
Mohammad Irfan,Shere Bangla National Stadium,87,96,,4,bowler,,5.0,5.44
A Sharma,"Tribhuvan University International Cricket Ground, Kirtipur",227,271,28.0,5,batter,83.76,,
Mir Hamza,Sydney Cricket Ground,62,138,,1,bowler,,1.0,2.7
Basil Hameed,"Tribhuvan University International Cricket Ground, Kirtipur",78,108,8.0,5,batter,72.22,,
R Trumpelmann,"Cambusdoon New Ground, Ayr",25,43,2.0,2,batter,58.14,,
M Theekshana,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",93,102,,2,bowler,,1.0,5.47
ME Trescothick,Daren Sammy National Cricket Stadium,29,33,4.0,1,batter,87.88,,
CE McConchie,"Shere Bangla National Stadium, Mirpur",138,151,,7,bowler,,10.0,5.48
Ali Naseer,"ICC Academy, Dubai",32,26,3.0,4,batter,123.08,,
JN Mohammed,R Premadasa Stadium,25,36,,1,bowler,,0.0,4.17
S Chanderpaul,Bellerive Oval,49,113,5.0,1,batter,43.36,,
LPC Silva,New Wanderers Stadium,63,48,9.0,4,batter,131.25,,
TKP Rajapaksha,Gahanga International Cricket Stadium. Rwanda,17,27,2.0,2,batter,62.96,,
HDRL Thirimanne,The Wanderers Stadium,48,87,10.0,1,batter,55.17,,
C Pengkumta,"West End Park International Cricket Stadium, Doha",12,6,,1,bowler,,0.0,12.0
Shahadat Hossain,Lord's,20,21,3.0,1,batter,95.24,,
AJ Burger,"St George's Park, Port Elizabeth",85,84,11.0,1,batter,101.19,,
Wahab Riaz,Clontarf Cricket Club Ground,45,42,,1,bowler,,1.0,6.43
PLS Gamage,"Vidarbha Cricket Association Stadium, Jamtha",0,9,0.0,1,batter,0.0,,
JE Root,University Oval,106,114,9.0,2,batter,92.98,,
RR Patel,"Sikh Union Club Ground, Nairobi",142,132,,7,bowler,,9.0,6.45
AJ Hall,"Buffalo Park, East London",26,42,,1,bowler,,1.0,3.71
SO Hetmyer,"National Cricket Stadium, St George's, Grenada",59,58,5.0,4,batter,101.72,,
TG Southee,"Vidarbha Cricket Association Stadium, Jamtha",75,103,8.0,2,batter,72.82,,
Mehran Khan,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),68,81,6.0,10,batter,83.95,,
NM Lyon,Newlands,219,527,,3,bowler,,5.0,2.49
DS Smith,Kennington Oval,61,34,10.0,1,batter,179.41,,
Milind Kumar,"Kensington Oval, Bridgetown, Barbados",22,6,,1,bowler,,0.0,22.0
J Little,"County Ground, Bristol",7,7,1.0,1,batter,100.0,,
SE Bond,"Punjab Cricket Association Stadium, Mohali",9,11,1.0,1,batter,81.82,,
DW Steyn,"Windsor Park, Roseau",19,42,,1,bowler,,1.0,2.71
A Mishra,Galle International Stadium,25,53,4.0,1,batter,47.17,,
C Green,"National Stadium, Karachi",28,73,3.0,1,batter,38.36,,
SV Carlisle,Bellerive Oval,36,71,3.0,1,batter,50.7,,
